time,Open
1617235200,398.399.994
1617580800,403.459.991
1617667200,405.760.010
1617753600,405.940.002
1617840000,407.929.993
1617926400,408.390.015
1618185600,410.850.006
1618272000,411.529.999
1618358400,412.829.987
1618444800,413.739.990
1618531200,417.250.000
1618790400,416.260.010
1618876800,413.910.004
1618963200,411.510.010
1619049600,415.890.015
1619136000,412.869.995
1619395200,417.440.002
1619481600,417.929.993
1619568000,417.809.998
1619654400,420.320.007
1619740800,417.630.005
1620000000,419.429.993
1620086400,416.070.007
1620172800,417.380.005
1620259200,415.829.987
1620345600,419.890.015
1620604800,422.500.000
1620691200,413.100.006
1620777600,411.230.011
1620864000,407.070.007
1620950400,413.209.991
1621209600,415.390.015
1621296000,415.799.988
1621382400,406.920.013
1621468800,411.799.988
1621555200,416.869.995
1621814400,417.339.996
1621900800,420.329.987
1621987200,418.869.995
1622073600,420.170.013
1622160000,420.970.001
1622505600,422.570.007
1622592000,420.369.995
1622678400,417.850.006
1622764800,420.750.000
1623024000,422.589.996
1623110400,423.109.985
1623196800,423.179.993
1623283200,422.959.991
1623369600,424.200.012
1623628800,424.429.993
1623715200,425.420.013
1623801600,424.630.005
1623888000,421.670.013
1623974400,417.089.996
1624233600,416.799.988
1624320000,420.850.006
1624406400,423.190.002
1624492800,424.890.015
1624579200,425.899.994
1624838400,427.170.013
1624924800,427.880.005
1625011200,427.209.991
1625097600,428.869.995
1625184000,431.670.013
1625529600,433.779.999
1625616000,433.660.004
1625702400,428.779.999
1625788800,432.529.999
1626048000,435.429.993
1626134400,436.239.990
1626220800,437.399.994
1626307200,434.809.998
1626393600,436.010.010
1626652800,426.190.002
1626739200,425.679.993
1626825600,432.339.996
1626912000,434.739.990
1626998400,437.519.989
1627257600,439.309.998
1627344000,439.910.004
1627430400,439.679.993
1627516800,439.820.007
1627603200,437.910.004
1627862400,440.339.996
1627948800,438.440.002
1628035200,439.779.999
1628121600,440.220.001
1628208000,442.100.006
1628467200,442.459.991
1628553600,442.609.985
1628640000,443.820.007
1628726400,443.619.995
1628812800,445.589.996
1629072000,444.529.999
1629158400,444.239.990
1629244800,442.959.991
1629331200,436.269.989
1629417600,440.230.011
1629676800,445.160.004
1629763200,447.970.001
1629849600,448.170.013
1629936000,448.609.985
1630022400,447.119.995
1630281600,450.970.001
1630368000,452.130.005
1630454400,452.559.998
1630540800,453.320.007
1630627200,451.980.011
1630972800,452.709.991
1631059200,450.890.015
1631145600,450.700.012
1631232000,451.040.009
1631491200,448.640.015
1631577600,448.119.995
1631664000,444.619.995
1631750400,447.320.007
1631836800,444.920.013
1632096000,434.880.005
1632182400,436.529.999
1632268800,436.049.988
1632355200,439.850.006
1632441600,441.440.002
1632700800,442.809.998
1632787200,439.690.002
1632873600,435.190.002
1632960000,436.019.989
1633046400,430.980.011
1633305600,433.000.000
1633392000,430.239.990
1633478400,429.269.989
1633564800,438.390.015
1633651200,439.480.011
1633910400,437.160.004
1633996800,435.670.013
1634083200,434.709.991
1634169600,439.079.987
1634256000,444.750.000
1634515200,443.970.001
1634601600,448.920.013
1634688000,451.130.005
1634774400,451.769.989
1634860800,453.130.005
1635120000,454.279.999
1635206400,457.200.012
1635292800,456.450.012
1635379200,455.459.991
1635465600,455.869.995
1635724800,460.299.988
1635811200,460.220.001
1635897600,461.299.988
1635984000,465.359.985
1636070400,469.279.999
1636329600,469.700.012
